Ref,Val,Package,PosX,PosY,Rot,Side
"L27","5.6nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",228.625000,-101.250000,180.000000,top
"L28","18nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.810000,-125.325000,90.000000,top
"L29","15nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.800000,-125.325000,90.000000,top
"L30","15nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",176.810000,-125.325000,90.000000,top
"L31","22nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.800000,-119.075000,90.000000,top
"L32","27nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.800000,-119.075000,90.000000,top
"L33","18nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",176.800000,-119.200000,90.000000,top
"L34","22nH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.800000,-118.825000,90.000000,top
"P2","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",237.392824,-190.510731,90.000000,top
"PCB_ANT1","50ohm","U.FL_Hirose_U.FL-R-SMT-1_Vertical",178.275000,-73.600000,-90.000000,top
"Q1","MMBT2222A","SOT-23",210.737500,-130.090000,0.000000,top
"Q2","FS8205A","SOP65P640X120-8N",214.642824,-186.260731,90.000000,top
"R1","0R","R_0402_1005Metric",209.967176,-96.580000,0.000000,top
"R2","0R","R_0402_1005Metric",209.967176,-99.100000,0.000000,top
"R3","0R","R_0402_1005Metric",209.967176,-101.600000,0.000000,top
"R4","0R","R_0402_1005Metric",209.890000,-103.834269,0.000000,top
"R5","0R","R_0402_1005Metric",211.514676,-109.326769,0.000000,top
"R6","499R","R_0402_1005Metric",211.494676,-110.592500,0.000000,top
"R7","10K","R_0402_1005Metric",235.500000,-90.760000,-90.000000,top
"R18","10k","R_0402_1005Metric",161.647500,-83.870000,0.000000,top
"R19","10k","R_0402_1005Metric",161.627500,-87.170000,0.000000,top
"R20","10R","R_0402_1005Metric",157.647500,-93.670000,0.000000,top
"R21","1k","R_0402_1005Metric",153.847500,-110.870000,0.000000,top
"R22","10R","R_0402_1005Metric",157.627500,-98.870000,0.000000,top
"R23","10k","R_0402_1005Metric",232.510000,-121.250000,0.000000,top
"R24","10K","R_0402_1005Metric",227.490000,-129.500000,0.000000,top
"R25","10R","R_0402_1005Metric",225.760000,-101.750000,0.000000,top
"R26","10K","R_0402_1005Metric",240.510000,-115.250000,0.000000,top
"R27","10K","R_0402_1005Metric",238.250000,-114.240000,90.000000,top
"R28","10k","R_0402_1005Metric",236.250000,-114.265000,90.000000,top
"R29","33R","R_0402_1005Metric",200.270000,-129.500000,0.000000,top
"R30","33R","R_0402_1005Metric",203.510000,-129.500000,0.000000,top
"R31","100R","R_0402_1005Metric",200.250000,-131.750000,0.000000,top
"R32","33R","R_0402_1005Metric",203.490000,-131.750000,0.000000,top
"R33","1.2K","R_0402_1005Metric",221.317824,-194.865731,90.000000,top
"R34","10K","R_0402_1005Metric",225.317824,-194.845731,90.000000,top
"R35","1K","R_0402_1005Metric",217.142824,-197.510731,90.000000,top
"R36","1K","R_0402_1005Metric",221.142824,-197.520731,90.000000,top
"R37","10R","R_0402_1005Metric",211.457824,-140.010731,90.000000,top
"R38","10R","R_0402_1005Metric",192.642824,-166.020731,90.000000,top
"R39","100K","R_0402_1005Metric",225.142824,-197.510731,90.000000,top
"R40","5.1K","R_0402_1005Metric",217.317824,-194.855731,90.000000,top
"R41","10R","R_0402_1005Metric",192.392824,-155.250731,90.000000,top
"R42","10R","R_0402_1005Metric",192.392824,-176.750731,90.000000,top
"R43","10R","R_0402_1005Metric",205.392824,-166.000731,90.000000,top
"R44","10R","R_0402_1005Metric",179.642824,-166.000731,90.000000,top
"R45","10k","R_0402_1005Metric",196.117824,-90.908231,90.000000,top
"R46","10k","R_0402_1005Metric",168.200000,-126.940000,90.000000,top
"R47","100R","R_0402_1005Metric",168.200000,-124.690000,90.000000,top
"R48","100R","R_0402_1005Metric",164.550000,-128.200000,0.000000,top
"R_38","10k","R_0402_1005Metric",157.647500,-85.670000,0.000000,top
"R_BOOT1","10k","R_0402_1005Metric",212.217176,-99.100000,0.000000,top
"R_EN1","10k","R_0402_1005Metric",212.197176,-96.580000,0.000000,top
